Symbol,Name,org_name,10K,10Q_count,ratings_reports_count,earnings_call,old_earnings_call_count,old_ratings_reports
TFC,Truist Financial,False,True,3,0,False,0,False
CSX,CSX Corporation,CSX Corporation,True,3,1,False,0,False
ADSK,Autodesk,False,True,3,0,False,0,False
CARR,Carrier,Carrier Global Corporation,True,3,3,False,0,False
FMCCT,Freddie Mac,False,True,3,0,False,0,False
SLB,Schlumberger,False,True,3,0,False,0,False
TTD,The Trade Desk,"THE Trade Desk, Inc.",True,3,0,False,0,False
DLR,Digital Realty,"Digital Realty Trust, Inc.",True,3,0,False,0,False
HLT,Hilton Worldwide,Hilton Worldwide Holdings Inc.,True,3,0,True,0,False
ARES,Ares Management,Ares Management Corporation,True,3,0,False,0,False
BK,Bank of New York Mellon Corp,False,True,3,0,False,5,True
AFL,Aflac,False,True,3,0,False,0,False
VST,Vistra,Vistra  Corp.,True,3,3,False,0,False
PCAR,Paccar,PACCAR Inc,True,3,1,False,0,False
FCX,Freeport-McMoRan,Freeport-McMoRan Inc.,True,3,1,False,3,False
GBTC,Grayscale Bitcoin Trust,False,True,3,0,False,0,False
LNG,Cheniere Energy,"Cheniere Energy, Inc",True,3,4,False,0,False
SNOW,Snowflake,"Snowflake, Inc.",True,3,0,False,0,False
ROP,Roper Technologies,"Roper Technologies, Inc.",True,3,3,True,0,False
NSC,Norfolk Southern,Norfolk Southern Corporation,True,3,2,False,0,False
CPRT,Copart,"Copart, Inc.",True,3,0,True,0,False
